"region","year","quantity"
"SE_Brazil","1580","70"
"SE_Brazil","1581","76"
"SE_Brazil","1582","83"
"SE_Brazil","1583","91"
"SE_Brazil","1584","99"
"SE_Brazil","1585","107"
"SE_Brazil","1586","117"
"SE_Brazil","1587","128"
"SE_Brazil","1588","139"
"SE_Brazil","1589","152"
"SE_Brazil","1590","165"
"SE_Brazil","1591","180"
"SE_Brazil","1592","196"
"SE_Brazil","1593","214"
"SE_Brazil","1594","233"
"SE_Brazil","1595","254"
"SE_Brazil","1596","276"
"SE_Brazil","1597","301"
"SE_Brazil","1598","328"
"SE_Brazil","1599","357"
"SE_Brazil","1600","389"
"SE_Brazil","1601","424"
"SE_Brazil","1602","462"
"SE_Brazil","1603","504"
"SE_Brazil","1604","549"
"SE_Brazil","1605","598"
"SE_Brazil","1606","651"
"SE_Brazil","1607","710"
"SE_Brazil","1608","773"
"SE_Brazil","1609","843"
"SE_Brazil","1610","918"
"SE_Brazil","1611","1000"
"SE_Brazil","1612","1090"
"SE_Brazil","1613","1188"
"SE_Brazil","1614","1294"
"SE_Brazil","1615","1410"
"SE_Brazil","1616","1536"
"SE_Brazil","1617","1674"
"SE_Brazil","1618","1824"
"SE_Brazil","1619","1987"
"SE_Brazil","1620","2160"
"SE_Brazil","1621","2160"
"SE_Brazil","1622","2160"
"SE_Brazil","1623","2160"
"SE_Brazil","1624","2160"
"SE_Brazil","1625","2160"
"SE_Brazil","1626","2160"
"SE_Brazil","1627","2160"
"SE_Brazil","1628","2160"
"SE_Brazil","1629","2160"
"SE_Brazil","1630","2160"
"SE_Brazil","1631","2160"
"SE_Brazil","1632","2160"
"SE_Brazil","1633","2160"
"SE_Brazil","1634","2160"
"SE_Brazil","1635","2160"
"SE_Brazil","1636","2160"
"SE_Brazil","1637","2160"
"SE_Brazil","1638","2160"
"SE_Brazil","1639","2160"
"SE_Brazil","1640","2160"
"SE_Brazil","1641","1400"
"SE_Brazil","1642","1400"
"SE_Brazil","1643","1400"
"SE_Brazil","1644","1400"
"SE_Brazil","1645","1400"
"SE_Brazil","1646","1400"
"SE_Brazil","1647","1400"
"SE_Brazil","1648","1400"
"SE_Brazil","1649","2160"
"SE_Brazil","1650","2557"
"SE_Brazil","1651","2557"
"SE_Brazil","1652","2557"
"SE_Brazil","1653","2557"
"SE_Brazil","1654","2557"
"SE_Brazil","1655","2557"
"SE_Brazil","1656","2557"
"SE_Brazil","1657","2557"
"SE_Brazil","1658","2557"
"SE_Brazil","1659","2557"
"SE_Brazil","1660","2557"
"SE_Brazil","1661","2557"
"SE_Brazil","1662","2557"
"SE_Brazil","1663","2557"
"SE_Brazil","1664","2557"
"SE_Brazil","1665","2557"
"SE_Brazil","1666","3751"
"SE_Brazil","1667","3854"
"SE_Brazil","1668","3787"
"SE_Brazil","1669","2996"
"SE_Brazil","1670","3577"
"SE_Brazil","1671","1922"
"SE_Brazil","1672","1966"
"SE_Brazil","1673","2557"
"SE_Brazil","1674","2557"
"SE_Brazil","1675","2557"
"SE_Brazil","1676","2557"
"SE_Brazil","1677","2557"
"SE_Brazil","1678","2200"
"SE_Brazil","1679","2200"
"SE_Brazil","1680","2200"
"SE_Brazil","1681","2200"
"SE_Brazil","1682","2200"
"SE_Brazil","1683","2200"
"SE_Brazil","1684","2053"
"SE_Brazil","1685","2577"
"SE_Brazil","1686","959"
"SE_Brazil","1687","1581"
"SE_Brazil","1688","1943"
"SE_Brazil","1689","2294"
"SE_Brazil","1690","2974"
"SE_Brazil","1691","3498"
"SE_Brazil","1692","3305"
"SE_Brazil","1693","1444"
"SE_Brazil","1694","1571"
"SE_Brazil","1695","3334"
"SE_Brazil","1696","4190"
"SE_Brazil","1697","5807"
"SE_Brazil","1698","6558"
"SE_Brazil","1699","4294"
"SE_Brazil","1700","5427"
"SE_Brazil","1701","4422"
"SE_Brazil","1702","4390"
"SE_Brazil","1703","4367"
"SE_Brazil","1704","4003"
"SE_Brazil","1705","3310"
"SE_Brazil","1706","3745"
"SE_Brazil","1707","6101"
"SE_Brazil","1708","3927"
"SE_Brazil","1709","4133"
"SE_Brazil","1710","3212"
"SE_Brazil","1711","3827"
"SE_Brazil","1712","2844"
"SE_Brazil","1713","6385"
"SE_Brazil","1714","4807"
"SE_Brazil","1715","5954"
"SE_Brazil","1716","6140"
"SE_Brazil","1717","5445"
"SE_Brazil","1718","7445"
