"region","latitude","longitude","state"
"Maranhão","-5.6369","-49.7679","AM"
"Pará","-1.4200","-48.6846","AM"
"Porto Seguro","-18.0616","-40.3148","BA"
"Taipu","-5.5898","-35.8066","BA"
"Bahia, porto não especificado","-12.8807","-38.5462","BA"
"Paraíba","-7.1464","-34.9516","PE"
"Província de Alagoas","-9.7415","-35.8946","PE"
"Rio Grande do Norte","-5.7997","-35.2923","PE"
"Ilha de Itamaricá","-7.7498","-34.8771","PE"
"Maceió","-9.5933","-35.7567","PE"
"Catuamo e Maria Farinha","-7.8588","-34.8466","PE"
"Porto de Galinhas","-8.4933","-35.0099","PE"
"Pernambuco, porto não especificado","-8.0463","-35.0000","PE"
"Baía de Botafogo","-22.9499","-43.1844","SUD"
"Baía de Sepetiba","-23.9778","-43.7157","SUD"
"Cabo de Búzios","-22.8230","-42.8077","SUD"
"Cabo Frio","-22.7369","-42.2158","SUD"
"Campos","-21.5741","-40.6845","SUD"
"Cananéia","-25.0124","-47.9401","SUD"
"Copacabana","-22.9732","-43.1945","SUD"
"Dois Rios","-23.1797","-44.2020","SUD"
"Ilha de Paquetá","-22.7594","-43.1168","SUD"
"Ilha das Palmas","-22.7590","-43.2481","SUD"
"Ilha Grande","-23.1551","-44.3047","SUD"
"Ilha de Lobes","-29.3259","-49.7605","SUD"
"Ilha da Marambaia","-23.0688","-43.9273","SUD"
"Macaé","-22.2818","-42.1160","SUD"
"Mangaratiba","-22.9721","-44.0976","SUD"
"Maricá","-26.0391","-49.5880","SUD"
"Paranaguá","-25.5482","-48.5726","SUD"
"Parati","-23.2141","-44.7421","SUD"
"Ponta Negro","-21.7876","-43.7099","SUD"
"Rio de Janeiro","-22.9066","-43.1836","SUD"
"Província do Rio de Janeiro","-22.8748","-43.1952","SUD"
"Rio de Janeiro, São Paulo, Santa Catarina","-23.6815","-46.8754","SUD"
"Província do Rio Grande do Sul","-30.1085","-51.3172","SUD"
"Rio São Jeso","-15.7216","-48.0074","SUD"
"Santa Catarina","-27.6099","-48.6245","SUD"
"Santos","-23.9549","-46.3791","SUD"
"São Sebastião","-23.7737","-45.6904","SUD"
"Ubatuba","-23.3971","-45.1454","SUD"
"Sudeste do Brasil, porto não especificado","-19.7064","-45.4669","SUD"
"Brasil, região não especificada","-15.7216","-48.0074","OTHER"
