"year","quantity","state"
"1500","0","Amazônia"
"1501","0","Amazônia"
"1502","0","Amazônia"
"1503","0","Amazônia"
"1504","0","Amazônia"
"1505","0","Amazônia"
"1506","0","Amazônia"
"1507","0","Amazônia"
"1508","0","Amazônia"
"1509","0","Amazônia"
"1510","0","Amazônia"
"1511","0","Amazônia"
"1512","0","Amazônia"
"1513","0","Amazônia"
"1514","0","Amazônia"
"1515","0","Amazônia"
"1516","0","Amazônia"
"1517","0","Amazônia"
"1518","0","Amazônia"
"1519","0","Amazônia"
"1520","0","Amazônia"
"1521","0","Amazônia"
"1522","0","Amazônia"
"1523","0","Amazônia"
"1524","0","Amazônia"
"1525","0","Amazônia"
"1526","0","Amazônia"
"1527","0","Amazônia"
"1528","0","Amazônia"
"1529","0","Amazônia"
"1530","0","Amazônia"
"1531","0","Amazônia"
"1532","0","Amazônia"
"1533","0","Amazônia"
"1534","0","Amazônia"
"1535","0","Amazônia"
"1536","0","Amazônia"
"1537","0","Amazônia"
"1538","0","Amazônia"
"1539","0","Amazônia"
"1540","0","Amazônia"
"1541","0","Amazônia"
"1542","0","Amazônia"
"1543","0","Amazônia"
"1544","0","Amazônia"
"1545","0","Amazônia"
"1546","0","Amazônia"
"1547","0","Amazônia"
"1548","0","Amazônia"
"1549","0","Amazônia"
"1550","0","Amazônia"
"1551","0","Amazônia"
"1552","0","Amazônia"
"1553","0","Amazônia"
"1554","0","Amazônia"
"1555","0","Amazônia"
"1556","0","Amazônia"
"1557","0","Amazônia"
"1558","0","Amazônia"
"1559","0","Amazônia"
"1560","0","Amazônia"
"1561","0","Amazônia"
"1562","0","Amazônia"
"1563","0","Amazônia"
"1564","0","Amazônia"
"1565","0","Amazônia"
"1566","0","Amazônia"
"1567","0","Amazônia"
"1568","0","Amazônia"
"1569","0","Amazônia"
"1570","0","Amazônia"
"1571","0","Amazônia"
"1572","0","Amazônia"
"1573","0","Amazônia"
"1574","0","Amazônia"
"1575","0","Amazônia"
"1576","0","Amazônia"
"1577","0","Amazônia"
"1578","0","Amazônia"
"1579","0","Amazônia"
"1580","0","Amazônia"
"1581","0","Amazônia"
"1582","0","Amazônia"
"1583","0","Amazônia"
"1584","0","Amazônia"
"1585","0","Amazônia"
"1586","0","Amazônia"
"1587","0","Amazônia"
"1588","0","Amazônia"
"1589","0","Amazônia"
"1590","0","Amazônia"
"1591","0","Amazônia"
"1592","0","Amazônia"
"1593","0","Amazônia"
"1594","0","Amazônia"
"1595","0","Amazônia"
"1596","0","Amazônia"
"1597","0","Amazônia"
"1598","0","Amazônia"
"1599","0","Amazônia"
"1600","0","Amazônia"
"1601","0","Amazônia"
"1602","0","Amazônia"
"1603","0","Amazônia"
"1604","0","Amazônia"
"1605","0","Amazônia"
"1606","0","Amazônia"
"1607","0","Amazônia"
"1608","0","Amazônia"
"1609","0","Amazônia"
"1610","0","Amazônia"
"1611","0","Amazônia"
"1612","0","Amazônia"
"1613","0","Amazônia"
"1614","0","Amazônia"
"1615","0","Amazônia"
"1616","0","Amazônia"
"1617","0","Amazônia"
"1618","0","Amazônia"
"1619","0","Amazônia"
"1620","0","Amazônia"
"1621","0","Amazônia"
"1622","0","Amazônia"
"1623","0","Amazônia"
"1624","0","Amazônia"
"1625","0","Amazônia"
"1626","0","Amazônia"
"1627","0","Amazônia"
"1628","0","Amazônia"
"1629","0","Amazônia"
"1630","0","Amazônia"
"1631","0","Amazônia"
"1632","0","Amazônia"
"1633","0","Amazônia"
"1634","0","Amazônia"
"1635","0","Amazônia"
"1636","0","Amazônia"
"1637","0","Amazônia"
"1638","0","Amazônia"
"1639","0","Amazônia"
"1640","0","Amazônia"
"1641","0","Amazônia"
"1642","0","Amazônia"
"1643","0","Amazônia"
"1644","0","Amazônia"
"1645","0","Amazônia"
"1646","0","Amazônia"
"1647","0","Amazônia"
"1648","0","Amazônia"
"1649","0","Amazônia"
"1650","0","Amazônia"
"1651","0","Amazônia"
"1652","0","Amazônia"
"1653","0","Amazônia"
"1654","0","Amazônia"
"1655","0","Amazônia"
"1656","0","Amazônia"
"1657","0","Amazônia"
"1658","0","Amazônia"
"1659","0","Amazônia"
"1660","0","Amazônia"
"1661","0","Amazônia"
"1662","0","Amazônia"
"1663","0","Amazônia"
"1664","0","Amazônia"
"1665","0","Amazônia"
"1666","0","Amazônia"
"1667","0","Amazônia"
"1668","0","Amazônia"
"1669","0","Amazônia"
"1670","0","Amazônia"
"1671","0","Amazônia"
"1672","0","Amazônia"
"1673","1114","Amazônia"
"1674","1114","Amazônia"
"1675","1114","Amazônia"
"1676","1114","Amazônia"
"1677","1114","Amazônia"
"1678","1114","Amazônia"
"1679","1114","Amazônia"
"1680","1714","Amazônia"
"1681","1714","Amazônia"
"1682","1714","Amazônia"
"1683","1714","Amazônia"
"1684","1914","Amazônia"
"1685","1914","Amazônia"
"1686","1914","Amazônia"
"1687","1914","Amazônia"
"1688","1914","Amazônia"
"1689","1914","Amazônia"
"1690","1914","Amazônia"
"1691","1914","Amazônia"
"1692","2059","Amazônia"
"1693","2349","Amazônia"
"1694","2349","Amazônia"
"1695","2451","Amazônia"
"1696","2609","Amazônia"
"1697","2609","Amazônia"
"1698","2827","Amazônia"
"1699","2827","Amazônia"
"1700","2827","Amazônia"
"1701","2942","Amazônia"
"1702","3052","Amazônia"
"1703","3222","Amazônia"
"1704","3222","Amazônia"
"1705","3222","Amazônia"
"1706","3222","Amazônia"
"1707","3222","Amazônia"
"1708","3309","Amazônia"
"1709","3309","Amazônia"
"1710","3309","Amazônia"
"1711","3309","Amazônia"
"1712","3309","Amazônia"
"1713","3309","Amazônia"
"1714","3665","Amazônia"
"1715","3750","Amazônia"
"1716","3750","Amazônia"
"1717","3750","Amazônia"
"1718","3750","Amazônia"
"1719","3750","Amazônia"
"1720","3750","Amazônia"
"1721","3750","Amazônia"
"1722","3750","Amazônia"
"1723","3750","Amazônia"
"1724","3750","Amazônia"
"1725","3750","Amazônia"
"1726","3750","Amazônia"
"1727","3750","Amazônia"
"1728","3750","Amazônia"
"1729","3750","Amazônia"
"1730","3750","Amazônia"
"1731","3750","Amazônia"
"1732","3750","Amazônia"
"1733","3750","Amazônia"
"1734","3750","Amazônia"
"1735","3750","Amazônia"
"1736","3750","Amazônia"
"1737","3750","Amazônia"
"1738","3750","Amazônia"
"1739","3750","Amazônia"
"1740","3819","Amazônia"
"1741","3826","Amazônia"
"1742","3826","Amazônia"
"1743","3918","Amazônia"
"1744","3918","Amazônia"
"1745","3918","Amazônia"
"1746","3918","Amazônia"
"1747","3918","Amazônia"
"1748","3918","Amazônia"
"1749","3918","Amazônia"
"1750","3918","Amazônia"
"1751","3918","Amazônia"
"1752","4350","Amazônia"
"1753","4777","Amazônia"
"1754","4777","Amazônia"
"1755","5211","Amazônia"
"1756","5744","Amazônia"
"1757","6441","Amazônia"
"1758","7886","Amazônia"
"1759","8744","Amazônia"
"1760","9393","Amazônia"
"1761","10217","Amazônia"
"1762","12450","Amazônia"
"1763","13166","Amazônia"
"1764","14488","Amazônia"
"1765","16180","Amazônia"
"1766","17128","Amazônia"
"1767","18469","Amazônia"
"1768","19520","Amazônia"
"1769","20284","Amazônia"
"1770","21461","Amazônia"
"1771","22472","Amazônia"
"1772","23636","Amazônia"
"1773","24615","Amazônia"
"1774","25542","Amazônia"
"1775","26685","Amazônia"
"1776","28771","Amazônia"
"1777","29926","Amazônia"
"1778","32475","Amazônia"
"1779","34024","Amazônia"
"1780","34898","Amazônia"
"1781","36745","Amazônia"
"1782","37572","Amazônia"
"1783","39795","Amazônia"
"1784","40256","Amazônia"
"1785","41298","Amazônia"
"1786","42685","Amazônia"
"1787","45520","Amazônia"
"1788","48045","Amazônia"
"1789","49832","Amazônia"
"1790","51388","Amazônia"
"1791","52544","Amazônia"
"1792","54299","Amazônia"
"1793","56180","Amazônia"
"1794","58404","Amazônia"
"1795","61247","Amazônia"
"1796","62469","Amazônia"
"1797","64064","Amazônia"
"1798","64789","Amazônia"
"1799","64789","Amazônia"
"1800","66331","Amazônia"
"1801","67980","Amazônia"
"1802","70512","Amazônia"
"1803","72703","Amazônia"
"1804","78236","Amazônia"
"1805","83054","Amazônia"
"1806","88392","Amazônia"
"1807","91387","Amazônia"
"1808","92381","Amazônia"
"1809","94384","Amazônia"
"1810","96668","Amazônia"
"1811","99455","Amazônia"
"1812","100753","Amazônia"
"1813","101796","Amazônia"
"1814","103094","Amazônia"
"1815","104632","Amazônia"
"1816","104632","Amazônia"
"1817","107343","Amazônia"
"1818","111098","Amazônia"
"1819","113374","Amazônia"
"1820","115348","Amazônia"
"1821","116906","Amazônia"
"1822","116906","Amazônia"
"1823","118541","Amazônia"
"1824","118541","Amazônia"
"1825","119413","Amazônia"
"1826","120393","Amazônia"
"1827","122041","Amazônia"
"1828","122597","Amazônia"
"1829","123067","Amazônia"
"1830","124770","Amazônia"
"1831","124929","Amazônia"
"1832","124929","Amazônia"
"1833","124929","Amazônia"
"1834","124929","Amazônia"
"1835","125436","Amazônia"
"1836","125436","Amazônia"
"1837","125436","Amazônia"
"1838","125558","Amazônia"
