"year","region","quantity"
"1574","Bahia, porto não especificado","0"
"1574","Pernambuco, porto não especificado","48"
"1574","Rio de Janeiro","0"
"1574","Brasil, região não especificada","0"
"1575","Bahia, porto não especificado","0"
"1575","Pernambuco, porto não especificado","284"
"1575","Rio de Janeiro","0"
"1575","Brasil, região não especificada","0"
"1576","Bahia, porto não especificado","0"
"1576","Pernambuco, porto não especificado","83"
"1576","Rio de Janeiro","0"
"1576","Brasil, região não especificada","0"
"1582","Bahia, porto não especificado","166"
"1582","Pernambuco, porto não especificado","0"
"1582","Rio de Janeiro","0"
"1582","Brasil, região não especificada","0"
"1597","Bahia, porto não especificado","0"
"1597","Pernambuco, porto não especificado","0"
"1597","Rio de Janeiro","287"
"1597","Brasil, região não especificada","287"
"1603","Bahia, porto não especificado","0"
"1603","Ilha de Itamaricá","0"
"1603","Pernambuco, porto não especificado","0"
"1603","Rio de Janeiro","38"
"1603","Brasil, região não especificada","0"
"1604","Bahia, porto não especificado","0"
"1604","Ilha de Itamaricá","0"
"1604","Pernambuco, porto não especificado","287"
"1604","Rio de Janeiro","0"
"1604","Brasil, região não especificada","0"
"1607","Bahia, porto não especificado","27"
"1607","Ilha de Itamaricá","0"
"1607","Pernambuco, porto não especificado","0"
"1607","Rio de Janeiro","310"
"1607","Brasil, região não especificada","0"
"1610","Bahia, porto não especificado","209"
"1610","Ilha de Itamaricá","0"
"1610","Pernambuco, porto não especificado","0"
"1610","Rio de Janeiro","0"
"1610","Brasil, região não especificada","0"
"1611","Bahia, porto não especificado","105"
"1611","Ilha de Itamaricá","0"
"1611","Pernambuco, porto não especificado","0"
"1611","Rio de Janeiro","0"
"1611","Brasil, região não especificada","0"
"1624","Bahia, porto não especificado","436"
"1624","Ilha de Itamaricá","0"
"1624","Pernambuco, porto não especificado","0"
"1624","Rio de Janeiro","0"
"1624","Brasil, região não especificada","0"
"1626","Bahia, porto não especificado","148"
"1626","Ilha de Itamaricá","0"
"1626","Pernambuco, porto não especificado","0"
"1626","Rio de Janeiro","0"
"1626","Brasil, região não especificada","0"
"1627","Bahia, porto não especificado","605"
"1627","Ilha de Itamaricá","0"
"1627","Pernambuco, porto não especificado","521"
"1627","Rio de Janeiro","0"
"1627","Brasil, região não especificada","245"
"1630","Bahia, porto não especificado","0"
"1630","Ilha de Itamaricá","0"
"1630","Pernambuco, porto não especificado","734"
"1630","Rio de Janeiro","0"
"1630","Brasil, região não especificada","0"
"1633","Bahia, porto não especificado","0"
"1633","Ilha de Itamaricá","0"
"1633","Pernambuco, porto não especificado","300"
"1633","Rio de Janeiro","0"
"1633","Brasil, região não especificada","0"
"1636","Bahia, porto não especificado","0"
"1636","Ilha de Itamaricá","239"
"1636","Pernambuco, porto não especificado","620"
"1636","Rio de Janeiro","0"
"1636","Brasil, região não especificada","0"
"1637","Bahia, porto não especificado","0"
"1637","Ilha de Itamaricá","0"
"1637","Pernambuco, porto não especificado","1229"
"1637","Rio de Janeiro","0"
"1637","Brasil, região não especificada","0"
"1638","Bahia, porto não especificado","0"
"1638","Ilha de Itamaricá","0"
"1638","Pernambuco, porto não especificado","1518"
"1638","Rio de Janeiro","0"
"1638","Brasil, região não especificada","0"
"1639","Bahia, porto não especificado","0"
"1639","Ilha de Itamaricá","0"
"1639","Pernambuco, porto não especificado","1671"
"1639","Rio de Janeiro","0"
"1639","Brasil, região não especificada","0"
"1640","Bahia, porto não especificado","0"
"1640","Ilha de Itamaricá","0"
"1640","Pernambuco, porto não especificado","1289"
"1640","Rio de Janeiro","0"
"1640","Brasil, região não especificada","0"
"1641","Bahia, porto não especificado","260"
"1641","Ilha de Itamaricá","0"
"1641","Pernambuco, porto não especificado","1611"
"1641","Rio de Janeiro","0"
"1641","Brasil, região não especificada","130"
"1642","Bahia, porto não especificado","0"
"1642","Ilha de Itamaricá","0"
"1642","Pernambuco, porto não especificado","2400"
"1642","Rio de Janeiro","0"
"1642","Brasil, região não especificada","0"
"1643","Bahia, porto não especificado","0"
"1643","Ilha de Itamaricá","0"
"1643","Pernambuco, porto não especificado","5012"
